Drug,District,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
Cannabis,19,1164839,1930205,2002,41.96409271,-87.66932057,"(41.964093, -87.669321)"
Cannabis,6,1169813,1848186,2006,41.73891835,-87.65342045,"(41.738918, -87.65342)"
Cannabis,22,1174313,1830380,2004,41.68995741,-87.63746062,"(41.689957, -87.637461)"
Cannabis,5,1176839,1834173,2005,41.70030959,-87.62809922,"(41.70031, -87.628099)"
Cannabis,6,1164407,1852089,2009,41.74974426,-87.67311733,"(41.749744, -87.673117)"
Heroin,15,1143388,1904517,2003,41.89403137,-87.74883397,"(41.894031, -87.748834)"
Cocaine,8,1155414,1864857,2010,41.78496626,-87.70573036,"(41.784966, -87.70573)"
Crack,18,1172774,1906610,2006,41.89917464,-87.64084684,"(41.899175, -87.640847)"
Heroin,15,1141343,1902645,2006,41.88893236,-87.75639093,"(41.888932, -87.756391)"
Cannabis,3,1182456,1860755,2011,41.77312556,-87.60671035,"(41.773126, -87.60671)"
Crack,7,1166045,1864618,2004,41.78409087,-87.66675919,"(41.784091, -87.666759)"
Cannabis,9,1172208,1869517,2008,41.79740093,-87.64401931,"(41.797401, -87.644019)"
Cannabis,16,1141096,1922206,2004,41.94261444,-87.75681512,"(41.942614, -87.756815)"
Cannabis,7,1166855,1859263,2015,41.76937879,-87.66394224,"(41.769379, -87.663942)"
Crack,17,1148552,1927104,2006,41.95591407,-87.7292837,"(41.955914, -87.729284)"
Cannabis,11,1150625,1903379,2010,41.89077022,-87.72228432,"(41.89077, -87.722284)"
Crack,6,1168769,1853933,2006,41.75471148,-87.65707999,"(41.754711, -87.65708)"
Cannabis,16,1139662,1920745,2003,41.93863166,-87.7621216,"(41.938632, -87.762122)"
Cannabis,25,1142884,1918162,2016,41.93148413,-87.75034439,"(41.931484, -87.750344)"
Cannabis,19,1169228,1922098,2004,41.94175233,-87.65342009,"(41.941752, -87.65342)"
Cannabis,7,1167534,1858705,2011,41.76783304,-87.66146931,"(41.767833, -87.661469)"
Cannabis,3,1180811,1864641,2001,41.7838271,-87.61262106,"(41.783827, -87.612621)"
Heroin,11,1151253,1904714,2013,41.8944213,-87.71994293,"(41.894421, -87.719943)"
Crack,9,1167202,1870817,2004,41.80107697,-87.66233979,"(41.801077, -87.66234)"
Cannabis,6,1171495,1847363,2014,41.7366233,-87.64728198,"(41.736623, -87.647282)"
Cannabis,24,1158173,1941976,2005,41.99653202,-87.69350619,"(41.996532, -87.693506)"
Crack,11,1146954,1896346,2002,41.8715418,-87.73594595,"(41.871542, -87.735946)"
Crack,25,1149438,1912833,2001,41.91673606,-87.72639795,"(41.916736, -87.726398)"
Cannabis,9,1174922,1879305,2003,41.82419997,-87.63377456,"(41.8242, -87.633775)"
Cannabis,3,1191258,1856971,2006,41.76253337,-87.57456726,"(41.762533, -87.574567)"
Cannabis,6,1183647,1851316,2013,41.74719631,-87.60263839,"(41.747196, -87.602638)"
Cannabis,4,1192970,1840463,2009,41.71719235,-87.56883013,"(41.717192, -87.56883)"
Cannabis,2,1179036,1866453,2012,41.78884005,-87.61907362,"(41.78884, -87.619074)"
Cannabis,8,1162130,1863314,2014,41.7805949,-87.68114938,"(41.780595, -87.681149)"
Cannabis,7,1171489,1859417,2008,41.76970116,-87.64695164,"(41.769701, -87.646952)"
Crack,7,1173805,1865791,2002,41.7871411,-87.63827339,"(41.787141, -87.638273)"
Cannabis,10,1155061,1888318,2007,41.8493534,-87.70639703,"(41.849353, -87.706397)"
Crack,6,1167496,1847999,2015,41.73845512,-87.66191485,"(41.738455, -87.661915)"
Hallucinogens,10,1154415,1887682,2015,41.84762106,-87.70878491,"(41.847621, -87.708785)"
Crack,7,1167477,1860803,2006,41.77359145,-87.66161818,"(41.773591, -87.661618)"
Methamphetamines,11,,,2008,,,
Crack,11,1148362,1900762,2006,41.8836328,-87.73066274,"(41.883633, -87.730663)"
Heroin,1,1176681,1888910,2002,41.85051735,-87.62703166,"(41.850517, -87.627032)"
Cannabis,4,1197267,1852154,2001,41.74916762,-87.55270404,"(41.749168, -87.552704)"
Cannabis,17,1151816,1927683,2011,41.95743913,-87.71726909,"(41.957439, -87.717269)"
Cannabis,25,1141477,1910575,2004,41.91069073,-87.75570274,"(41.910691, -87.755703)"
Cannabis,24,1158170,1942050,2012,41.99673514,-87.69351519,"(41.996735, -87.693515)"
Heroin,11,1154662,1900797,2005,41.88360511,-87.70752754,"(41.883605, -87.707528)"
Cannabis,4,1188080,1843311,2007,41.72512533,-87.58664936,"(41.725125, -87.586649)"
Cannabis,8,1161462,1862516,2011,41.77841896,-87.68362051,"(41.778419, -87.683621)"
Cannabis,6,1184847,1854139,2001,41.75491486,-87.59815292,"(41.754915, -87.598153)"
Heroin,15,1144218,1901500,2015,41.88573681,-87.74586147,"(41.885737, -87.745861)"
Cannabis,9,1158845,1878678,2009,41.82282348,-87.69277309,"(41.822823, -87.692773)"
Crack,1,1176681,1888910,2004,41.85051735,-87.62703166,"(41.850517, -87.627032)"
Cannabis,7,1175860,1857623,2003,41.76468138,-87.63098325,"(41.764681, -87.630983)"
Cannabis,4,1197212,1852819,2014,41.7509938,-87.55288348,"(41.750994, -87.552883)"
Cannabis,25,1138414,1907547,2001,41.90243759,-87.76702869,"(41.902438, -87.767029)"
Cannabis,8,1159957,1862782,2003,41.77917997,-87.68913065,"(41.77918, -87.689131)"
Cannabis,25,1142803,1907945,2010,41.90344911,-87.75089704,"(41.903449, -87.750897)"
Cannabis,4,1190407,1852973,2010,41.75158307,-87.57781494,"(41.751583, -87.577815)"
Heroin,15,1142660,1904503,2013,41.89400653,-87.75150806,"(41.894007, -87.751508)"
Crack,7,1163309,1867782,2005,41.79283106,-87.67670184,"(41.792831, -87.676702)"
Crack,22,1171732,1839013,2006,41.71370452,-87.64665771,"(41.713705, -87.646658)"
Heroin,11,1153911,1904694,2004,41.89431386,-87.71018137,"(41.894314, -87.710181)"
Heroin,9,1175122,1872185,2011,41.80465757,-87.63325363,"(41.804658, -87.633254)"
Cannabis,9,1170219,1883109,2001,41.8347423,-87.6509174,"(41.834742, -87.650917)"
Cocaine,11,1150751,1905070,2010,41.89540803,-87.72177732,"(41.895408, -87.721777)"
Cannabis,4,1198769,1853095,2016,41.75171226,-87.54716875,"(41.751712, -87.547169)"
Cannabis,12,1166705,1904791,2007,41.89431544,-87.66319019,"(41.894315, -87.66319)"
Cannabis,4,1195225,1852886,2003,41.75122688,-87.56016246,"(41.751227, -87.560162)"
Heroin,2,1176227,1880781,2004,41.82822098,-87.62894258,"(41.828221, -87.628943)"
Cannabis,7,1165418,1863368,2012,41.78067402,-87.66909341,"(41.780674, -87.669093)"
Cannabis,6,1166043,1852676,2015,41.75132046,-87.66710566,"(41.75132, -87.667106)"
Cannabis,15,1140947,1902786,2009,41.88932658,-87.75784174,"(41.889327, -87.757842)"
Cannabis,14,1154022,1910440,2012,41.9100792,-87.70962026,"(41.910079, -87.70962)"
Crack,7,1172107,1861014,2006,41.77406997,-87.64463945,"(41.77407, -87.644639)"
Crack,11,1153545,1899323,2002,41.87958258,-87.71166849,"(41.879583, -87.711668)"
Cannabis,11,1147358,1900793,2010,41.88373716,-87.73434875,"(41.883737, -87.734349)"
Crack,15,1140766,1903457,2015,41.89117121,-87.75848995,"(41.891171, -87.75849)"
Crack,15,1139182,1902010,2011,41.88722944,-87.76434253,"(41.887229, -87.764343)"
Cannabis,9,1171544,1881570,2006,41.83049015,-87.64610081,"(41.83049, -87.646101)"
Crack,9,1164179,1870718,2001,41.80086952,-87.673429,"(41.80087, -87.673429)"
Heroin,1,1176667,1889435,2007,41.85195831,-87.6270672,"(41.851958, -87.627067)"
Crack,15,1140813,1904116,2003,41.89297873,-87.75830112,"(41.892979, -87.758301)"
Crack,11,1150055,1899721,2006,41.88074339,-87.72447297,"(41.880743, -87.724473)"
Cannabis,22,1169846,1836216,2008,41.70607019,-87.6536458,"(41.70607, -87.653646)"
Cannabis,9,1159510,1879740,2001,41.82572411,-87.6903043,"(41.825724, -87.690304)"
Cannabis,24,1164996,1949675,2005,42.01751559,-87.66818734,"(42.017516, -87.668187)"
Cannabis,7,1172917,1855661,2008,41.75936285,-87.64182792,"(41.759363, -87.641828)"
Crack,6,1183379,1852811,2004,41.75130499,-87.60357394,"(41.751305, -87.603574)"
Heroin,11,1150837,1899387,2007,41.8798116,-87.72161025,"(41.879812, -87.72161)"
Cannabis,2,1182375,1874350,2014,41.8104333,-87.60658599,"(41.810433, -87.606586)"
Cannabis,6,1168798,1848861,2009,41.74079259,-87.65711979,"(41.740793, -87.65712)"
Heroin,7,1163681,1861536,2008,41.77568341,-87.67551298,"(41.775683, -87.675513)"
Crack,4,1190985,1853651,2008,41.75342961,-87.575675,"(41.75343, -87.575675)"
Crack,9,1171589,1869668,2011,41.79782889,-87.64628484,"(41.797829, -87.646285)"
Cannabis,3,1180304,1860685,2007,41.7729831,-87.61460112,"(41.772983, -87.614601)"
Cannabis,25,1143852,1912863,2002,41.91692502,-87.74692028,"(41.916925, -87.74692)"
Crack,11,1148146,1898999,2005,41.87879909,-87.73150132,"(41.878799, -87.731501)"
Heroin,18,1173001,1906745,2004,41.89954005,-87.64000908,"(41.89954, -87.640009)"
Hallucinogens,19,1167465,1931054,2014,41.96636615,-87.65964105,"(41.966366, -87.659641)"
Cannabis,7,1171782,1860764,2007,41.77339107,-87.64583816,"(41.773391, -87.645838)"
Cannabis,7,1164967,1862231,2006,41.77756349,-87.67077899,"(41.777563, -87.670779)"
Cannabis,4,1195915,1846487,2007,41.73365047,-87.55784532,"(41.73365, -87.557845)"
Cannabis,2,,,2016,,,
Crack,9,1167117,1870914,2005,41.80134497,-87.66264874,"(41.801345, -87.662649)"
Crack,7,1171800,1860101,2012,41.77157133,-87.64579161,"(41.771571, -87.645792)"
Cannabis,7,1168859,1858688,2013,41.76775789,-87.65661308,"(41.767758, -87.656613)"
Cannabis,6,1177802,1847510,2010,41.73688639,-87.62417085,"(41.736886, -87.624171)"
