Drug,District,X Coordinate,Y Coordinate,Year,Latitude,Longitude
Cannabis,19,1164839,1930205,2002,41.96409271,-87.66932057
Cannabis,6,1169813,1848186,2006,41.73891835,-87.65342045
Cannabis,22,1174313,1830380,2004,41.68995741,-87.63746062
Cannabis,5,1176839,1834173,2005,41.70030959,-87.62809922
Cannabis,6,1164407,1852089,2009,41.74974426,-87.67311733
Heroin,15,1143388,1904517,2003,41.89403137,-87.74883397
Cocaine,8,1155414,1864857,2010,41.78496626,-87.70573036
Crack,18,1172774,1906610,2006,41.89917464,-87.64084684
Heroin,15,1141343,1902645,2006,41.88893236,-87.75639093
Cannabis,3,1182456,1860755,2011,41.77312556,-87.60671035
Crack,7,1166045,1864618,2004,41.78409087,-87.66675919
Cannabis,9,1172208,1869517,2008,41.79740093,-87.64401931
Cannabis,16,1141096,1922206,2004,41.94261444,-87.75681512
Cannabis,7,1166855,1859263,2015,41.76937879,-87.66394224
Crack,17,1148552,1927104,2006,41.95591407,-87.7292837
Cannabis,11,1150625,1903379,2010,41.89077022,-87.72228432
Crack,6,1168769,1853933,2006,41.75471148,-87.65707999
Cannabis,16,1139662,1920745,2003,41.93863166,-87.7621216
Cannabis,25,1142884,1918162,2016,41.93148413,-87.75034439
Cannabis,19,1169228,1922098,2004,41.94175233,-87.65342009
Cannabis,7,1167534,1858705,2011,41.76783304,-87.66146931
Cannabis,3,1180811,1864641,2001,41.7838271,-87.61262106
Heroin,11,1151253,1904714,2013,41.8944213,-87.71994293
Crack,9,1167202,1870817,2004,41.80107697,-87.66233979
Cannabis,6,1171495,1847363,2014,41.7366233,-87.64728198
Cannabis,24,1158173,1941976,2005,41.99653202,-87.69350619
Crack,11,1146954,1896346,2002,41.8715418,-87.73594595
Crack,25,1149438,1912833,2001,41.91673606,-87.72639795
Cannabis,9,1174922,1879305,2003,41.82419997,-87.63377456
Cannabis,3,1191258,1856971,2006,41.76253337,-87.57456726
Cannabis,6,1183647,1851316,2013,41.74719631,-87.60263839
Cannabis,4,1192970,1840463,2009,41.71719235,-87.56883013
Cannabis,2,1179036,1866453,2012,41.78884005,-87.61907362
Cannabis,8,1162130,1863314,2014,41.7805949,-87.68114938
Cannabis,7,1171489,1859417,2008,41.76970116,-87.64695164
Crack,7,1173805,1865791,2002,41.7871411,-87.63827339
Cannabis,10,1155061,1888318,2007,41.8493534,-87.70639703
