,Drug,District,X_Coordinate,Y_Coordinate,Year,Latitude,Longitude
0,Cannabis,19,1164839.0,1930205.0,2002,41.96409271,-87.66932057
1,Cannabis,6,1169813.0,1848186.0,2006,41.73891835,-87.65342045
2,Cannabis,22,1174313.0,1830380.0,2004,41.68995741,-87.63746062
3,Cannabis,5,1176839.0,1834173.0,2005,41.70030959,-87.62809922
4,Cannabis,6,1164407.0,1852089.0,2009,41.74974426,-87.67311733
5,Heroin,15,1143388.0,1904517.0,2003,41.89403137,-87.74883397
6,Cocaine,8,1155414.0,1864857.0,2010,41.78496626,-87.70573036
7,Crack,18,1172774.0,1906610.0,2006,41.89917464,-87.64084684
8,Heroin,15,1141343.0,1902645.0,2006,41.88893236,-87.75639093
9,Cannabis,3,1182456.0,1860755.0,2011,41.77312556,-87.60671035
10,Crack,7,1166045.0,1864618.0,2004,41.78409087,-87.66675919
11,Cannabis,9,1172208.0,1869517.0,2008,41.79740093,-87.64401931
12,Cannabis,16,1141096.0,1922206.0,2004,41.94261444,-87.75681512
13,Cannabis,7,1166855.0,1859263.0,2015,41.76937879,-87.66394224
14,Crack,17,1148552.0,1927104.0,2006,41.95591407,-87.7292837
15,Cannabis,11,1150625.0,1903379.0,2010,41.89077022,-87.72228432
16,Crack,6,1168769.0,1853933.0,2006,41.75471148,-87.65707999
17,Cannabis,16,1139662.0,1920745.0,2003,41.93863166,-87.7621216
18,Cannabis,25,1142884.0,1918162.0,2016,41.93148413,-87.75034439
19,Cannabis,19,1169228.0,1922098.0,2004,41.94175233,-87.65342009
20,Cannabis,7,1167534.0,1858705.0,2011,41.76783304,-87.66146931
21,Cannabis,3,1180811.0,1864641.0,2001,41.7838271,-87.61262106
22,Heroin,11,1151253.0,1904714.0,2013,41.8944213,-87.71994293
23,Crack,9,1167202.0,1870817.0,2004,41.80107697,-87.66233979
24,Cannabis,6,1171495.0,1847363.0,2014,41.7366233,-87.64728198
25,Cannabis,24,1158173.0,1941976.0,2005,41.99653202,-87.69350619
26,Crack,11,1146954.0,1896346.0,2002,41.8715418,-87.73594595
27,Crack,25,1149438.0,1912833.0,2001,41.91673606,-87.72639795
28,Cannabis,9,1174922.0,1879305.0,2003,41.82419997,-87.63377456
29,Cannabis,3,1191258.0,1856971.0,2006,41.76253337,-87.57456726
30,Cannabis,6,1183647.0,1851316.0,2013,41.74719631,-87.60263839
31,Cannabis,4,1192970.0,1840463.0,2009,41.71719235,-87.56883013
32,Cannabis,2,1179036.0,1866453.0,2012,41.78884005,-87.61907362
33,Cannabis,8,1162130.0,1863314.0,2014,41.7805949,-87.68114938
34,Cannabis,7,1171489.0,1859417.0,2008,41.76970116,-87.64695164
35,Crack,7,1173805.0,1865791.0,2002,41.7871411,-87.63827339
36,Cannabis,10,1155061.0,1888318.0,2007,41.8493534,-87.70639703
37,Crack,6,1167496.0,1847999.0,2015,41.73845512,-87.66191485
38,Hallucinogens,10,1154415.0,1887682.0,2015,41.84762106,-87.70878491
39,Crack,7,1167477.0,1860803.0,2006,41.77359145,-87.66161818
40,Methamphetamines,11,,,2008,,
41,Crack,11,1148362.0,1900762.0,2006,41.8836328,-87.73066274
42,Heroin,1,1176681.0,1888910.0,2002,41.85051735,-87.62703166
43,Cannabis,4,1197267.0,1852154.0,2001,41.74916762,-87.55270404
44,Cannabis,17,1151816.0,1927683.0,2011,41.95743913,-87.71726909
45,Cannabis,25,1141477.0,1910575.0,2004,41.91069073,-87.75570274
46,Cannabis,24,1158170.0,1942050.0,2012,41.99673514,-87.69351519
47,Heroin,11,1154662.0,1900797.0,2005,41.88360511,-87.70752754
48,Cannabis,4,1188080.0,1843311.0,2007,41.72512533,-87.58664936
49,Cannabis,8,1161462.0,1862516.0,2011,41.77841896,-87.68362051
50,Cannabis,6,1184847.0,1854139.0,2001,41.75491486,-87.59815292
51,Heroin,15,1144218.0,1901500.0,2015,41.88573681,-87.74586147
52,Cannabis,9,1158845.0,1878678.0,2009,41.82282348,-87.69277309
53,Crack,1,1176681.0,1888910.0,2004,41.85051735,-87.62703166
54,Cannabis,7,1175860.0,1857623.0,2003,41.76468138,-87.63098325
55,Cannabis,4,1197212.0,1852819.0,2014,41.7509938,-87.55288348
56,Cannabis,25,1138414.0,1907547.0,2001,41.90243759,-87.76702869
57,Cannabis,8,1159957.0,1862782.0,2003,41.77917997,-87.68913065
58,Cannabis,25,1142803.0,1907945.0,2010,41.90344911,-87.75089704
59,Cannabis,4,1190407.0,1852973.0,2010,41.75158307,-87.57781494
60,Heroin,15,1142660.0,1904503.0,2013,41.89400653,-87.75150806
61,Crack,7,1163309.0,1867782.0,2005,41.79283106,-87.67670184
62,Crack,22,1171732.0,1839013.0,2006,41.71370452,-87.64665771
63,Heroin,11,1153911.0,1904694.0,2004,41.89431386,-87.71018137
64,Heroin,9,1175122.0,1872185.0,2011,41.80465757,-87.63325363
65,Cannabis,9,1170219.0,1883109.0,2001,41.8347423,-87.6509174
66,Cocaine,11,1150751.0,1905070.0,2010,41.89540803,-87.72177732
67,Cannabis,4,1198769.0,1853095.0,2016,41.75171226,-87.54716875
68,Cannabis,12,1166705.0,1904791.0,2007,41.89431544,-87.66319019
69,Cannabis,4,1195225.0,1852886.0,2003,41.75122688,-87.56016246
70,Heroin,2,1176227.0,1880781.0,2004,41.82822098,-87.62894258
71,Cannabis,7,1165418.0,1863368.0,2012,41.78067402,-87.66909341
72,Cannabis,6,1166043.0,1852676.0,2015,41.75132046,-87.66710566
73,Cannabis,15,1140947.0,1902786.0,2009,41.88932658,-87.75784174
74,Cannabis,14,1154022.0,1910440.0,2012,41.9100792,-87.70962026
75,Crack,7,1172107.0,1861014.0,2006,41.77406997,-87.64463945
76,Crack,11,1153545.0,1899323.0,2002,41.87958258,-87.71166849
77,Cannabis,11,1147358.0,1900793.0,2010,41.88373716,-87.73434875
78,Crack,15,1140766.0,1903457.0,2015,41.89117121,-87.75848995
79,Crack,15,1139182.0,1902010.0,2011,41.88722944,-87.76434253
80,Cannabis,9,1171544.0,1881570.0,2006,41.83049015,-87.64610081
81,Crack,9,1164179.0,1870718.0,2001,41.80086952,-87.673429
82,Heroin,1,1176667.0,1889435.0,2007,41.85195831,-87.6270672
83,Crack,15,1140813.0,1904116.0,2003,41.89297873,-87.75830112
84,Crack,11,1150055.0,1899721.0,2006,41.88074339,-87.72447297
85,Cannabis,22,1169846.0,1836216.0,2008,41.70607019,-87.6536458
86,Cannabis,9,1159510.0,1879740.0,2001,41.82572411,-87.6903043
87,Cannabis,24,1164996.0,1949675.0,2005,42.01751559,-87.66818734
88,Cannabis,7,1172917.0,1855661.0,2008,41.75936285,-87.64182792
89,Crack,6,1183379.0,1852811.0,2004,41.75130499,-87.60357394
90,Heroin,11,1150837.0,1899387.0,2007,41.8798116,-87.72161025
91,Cannabis,2,1182375.0,1874350.0,2014,41.8104333,-87.60658599
92,Cannabis,6,1168798.0,1848861.0,2009,41.74079259,-87.65711979
93,Heroin,7,1163681.0,1861536.0,2008,41.77568341,-87.67551298
94,Crack,4,1190985.0,1853651.0,2008,41.75342961,-87.575675
